=== 内存监控开始 === 1755157778
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755158352,2937,30313,3647,89,4045,12288,47.27,15.40
1755158353,2931,30249,3641,89,4045,12288,3.45,15.39
1755158354,2938,30313,3647,89,4045,12288,55.44,15.44
1755158355,2931,30249,3640,89,4045,12288,1.64,15.39
1755158356,2939,30313,3648,89,4045,12288,39.13,15.41
1755158357,2931,30249,3640,89,4045,12288,1.76,15.41
1755158358,2938,30313,3648,89,4045,12288,52.94,15.42
1755158359,2931,30249,3641,89,4045,12288,0.00,15.39
1755158360,2931,30249,3641,89,4045,12288,8.33,15.40
1755158362,2931,30249,3641,89,4045,12288,2.44,15.41
1755158363,2931,30249,3641,89,4045,12288,1.53,15.43
1755158364,2931,30249,3641,89,4045,12288,2.99,15.42
1755158365,2931,30249,3641,89,4045,12288,3.17,15.43
1755158366,2931,30249,3641,89,4045,12288,1.40,15.44
1755158367,2931,30249,3640,89,4045,12288,1.31,15.43
1755158368,2931,30249,3640,89,4045,12288,3.08,15.41
1755158369,2931,30249,3640,89,4045,12288,4.65,15.41
1755158370,2945,30313,3655,89,4045,12288,1.87,15.44
1755158371,2931,30249,3641,89,4045,12288,2.60,15.43
1755158372,3009,30313,3718,89,4045,12288,2.92,15.53
1755158373,2931,30249,3640,89,4045,12288,1.88,15.43
1755158374,2949,30313,3659,89,4163,12288,3.70,15.43
1755158375,2931,30249,3640,89,4045,12288,0.55,15.43
1755158376,3003,30377,3712,89,4161,12288,34.04,15.52
1755158377,2931,30249,3640,89,4045,12288,1.10,15.42
1755158378,3012,30377,3721,89,4137,12288,52.19,15.55
1755158379,2986,30249,3696,89,4045,12288,1.53,15.52
1755158380,3012,30377,3721,89,4045,12288,7.89,15.54
1755158381,2987,30249,3696,89,4045,12288,2.94,15.51
1755158382,3004,30313,3714,89,4045,12288,51.92,15.52
1755158383,2994,30249,3704,89,4045,12288,0.00,15.50
1755158384,3015,30377,3724,89,4045,12288,51.78,15.55
1755158385,2994,30249,3704,89,4045,12288,1.18,15.53
1755158386,3001,30377,3711,89,4045,12288,22.58,15.54
1755158387,2994,30249,3703,89,4045,12288,1.68,15.52
1755158389,3024,30377,3733,89,4045,12288,53.59,15.57
1755158390,2994,30249,3703,89,4045,12288,1.24,15.52
1755158391,3069,30377,3779,89,4045,12288,61.63,15.63
1755158392,3039,30249,3749,89,4045,12288,2.08,15.58
1755158393,3039,30249,3749,89,4045,12288,0.00,15.58
1755158394,3039,30249,3749,89,4045,12288,2.33,15.58
1755158395,2994,30249,3704,89,4045,12288,1.13,15.53
1755158396,2994,30249,3704,89,4045,12288,1.23,15.54
1755158397,2994,30249,3704,89,4045,12288,8.33,15.52
1755158398,2994,30249,3704,89,4045,12288,3.26,15.53
1755158399,2994,30249,3704,89,4045,12288,3.24,15.55
1755158400,3058,30313,3767,89,4045,12288,2.79,15.62
1755158401,3040,30249,3749,89,4045,12288,2.31,15.61
1755158402,3062,30313,3771,89,4045,12288,0.00,15.62
1755158403,3046,30255,3755,89,4045,12288,1.74,15.61
1755158404,3075,30383,3784,89,4117,12288,2.50,15.63
1755158405,3003,30214,3713,89,4045,12288,0.00,15.53
1755158406,3033,30342,3743,89,4045,12288,49.64,15.58
1755158407,3027,30238,3737,89,4045,12288,3.45,15.58
1755158408,3043,30366,3752,89,4045,12288,40.64,15.61
1755158409,2982,30238,3692,89,4045,12288,0.95,15.51
1755158410,3012,30366,3722,89,4047,12288,51.63,15.55
1755158411,2982,30238,3692,89,4045,12288,1.90,15.51
1755158412,2988,30302,3698,89,4045,12288,55.94,15.52
